category,title,url,pages,words,outcome,reason
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ43/pdf/PLAW-118publ43.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ43/pdf/PLAW-118publ43.pdf,2,364,skip,too short (2p < 15)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ42/pdf/PLAW-118publ42.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ42/pdf/PLAW-118publ42.pdf,466,224251,skip,too long (466p > 60)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ41/pdf/PLAW-118publ41.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ41/pdf/PLAW-118publ41.pdf,6,1907,skip,too short (6p < 15)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ40/pdf/PLAW-118publ40.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ40/pdf/PLAW-118publ40.pdf,3,887,skip,too short (3p < 15)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ4/pdf/PLAW-118publ4.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ4/pdf/PLAW-118publ4.pdf,3,1026,skip,too short (3p < 15)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ39/pdf/PLAW-118publ39.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ39/pdf/PLAW-118publ39.pdf,1,306,skip,too short (1p < 15)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ38/pdf/PLAW-118publ38.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ38/pdf/PLAW-118publ38.pdf,3,1070,skip,too short (3p < 15)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ37/pdf/PLAW-118publ37.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ37/pdf/PLAW-118publ37.pdf,2,631,skip,too short (2p < 15)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ36/pdf/PLAW-118publ36.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ36/pdf/PLAW-118publ36.pdf,2,419,skip,too short (2p < 15)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ35/pdf/PLAW-118publ35.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ35/pdf/PLAW-118publ35.pdf,6,2138,skip,too short (6p < 15)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ34/pdf/PLAW-118publ34.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ34/pdf/PLAW-118publ34.pdf,6,1866,skip,too short (6p < 15)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ33/pdf/PLAW-118publ33.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ33/pdf/PLAW-118publ33.pdf,2,610,skip,too short (2p < 15)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ32/pdf/PLAW-118publ32.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ32/pdf/PLAW-118publ32.pdf,1,355,skip,too short (1p < 15)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ31/pdf/PLAW-118publ31.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ31/pdf/PLAW-118publ31.pdf,974,440054,skip,too long (974p > 60)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ30/pdf/PLAW-118publ30.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ30/pdf/PLAW-118publ30.pdf,1,205,skip,too short (1p < 15)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ3/pdf/PLAW-118publ3.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ3/pdf/PLAW-118publ3.pdf,1,143,skip,too short (1p < 15)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ29/pdf/PLAW-118publ29.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ29/pdf/PLAW-118publ29.pdf,1,208,skip,too short (1p < 15)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ28/pdf/PLAW-118publ28.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ28/pdf/PLAW-118publ28.pdf,1,204,skip,too short (1p < 15)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ274/pdf/PLAW-118publ274.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ274/pdf/PLAW-118publ274.pdf,6,2163,skip,too short (6p < 15)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ273/pdf/PLAW-118publ273.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ273/pdf/PLAW-118publ273.pdf,2,453,skip,too short (2p < 15)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ272/pdf/PLAW-118publ272.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ272/pdf/PLAW-118publ272.pdf,241,105536,skip,too long (241p > 60)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ271/pdf/PLAW-118publ271.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ271/pdf/PLAW-118publ271.pdf,1,247,skip,too short (1p < 15)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ270/pdf/PLAW-118publ270.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ270/pdf/PLAW-118publ270.pdf,1,203,skip,too short (1p < 15)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ27/pdf/PLAW-118publ27.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ27/pdf/PLAW-118publ27.pdf,1,274,skip,too short (1p < 15)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ269/pdf/PLAW-118publ269.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ269/pdf/PLAW-118publ269.pdf,1,201,skip,too short (1p < 15)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ268/pdf/PLAW-118publ268.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ268/pdf/PLAW-118publ268.pdf,1,196,skip,too short (1p < 15)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ267/pdf/PLAW-118publ267.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ267/pdf/PLAW-118publ267.pdf,5,1912,skip,too short (5p < 15)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ266/pdf/PLAW-118publ266.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ266/pdf/PLAW-118publ266.pdf,1,194,skip,too short (1p < 15)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ265/pdf/PLAW-118publ265.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ265/pdf/PLAW-118publ265.pdf,1,193,skip,too short (1p < 15)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ264/pdf/PLAW-118publ264.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ264/pdf/PLAW-118publ264.pdf,1,213,skip,too short (1p < 15)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ263/pdf/PLAW-118publ263.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ263/pdf/PLAW-118publ263.pdf,2,365,skip,too short (2p < 15)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ262/pdf/PLAW-118publ262.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ262/pdf/PLAW-118publ262.pdf,1,193,skip,too short (1p < 15)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ261/pdf/PLAW-118publ261.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ261/pdf/PLAW-118publ261.pdf,1,201,skip,too short (1p < 15)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ260/pdf/PLAW-118publ260.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ260/pdf/PLAW-118publ260.pdf,1,199,skip,too short (1p < 15)
acts,https://www.govinfo.gov/content/pkg/PLAW-118publ26/pdf/PLAW-118publ26.pdf,https://www.govinfo.gov/content/pkg/PLAW-118publ26/pdf/PLAW-118publ26.pdf,1,153,skip,too short (1p < 15)
